2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001170000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001173000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001180000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001183000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001190000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001193000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001200000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001203000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001210000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001213000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001220000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001223000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001230000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\01\Z__C_RJTD_20221001233000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:29　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002000000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002003000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002010000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002013000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002020000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002023000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002030000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002033000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002040000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002043000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002050000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002053000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002060000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002063000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002070000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002073000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002080000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002083000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002090000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:30　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002093000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
2023/08/01 19:56:31　D:\RRI\RRI-GUI_Prism\GetJmbscRadar\.\tools\wgrib2\wgrib2.exe C:\Users\kakinuma-d977bt\Desktop\ANAL-rainfall\Obsdata\2022\10\02\Z__C_RJTD_20221002100000_SRF_GPV_Ggis1km_Prr60lv_ANAL_grib2.bin -nxny
