kp,depth_m,equivalent_width_m,top_width_m,area_m2,thalweg_m,bank_elevation_m,survey_year,source_file
103.0,8.440000000000001,235.97619727488149,439.5826666666667,1991.639105,21.47,29.91,H24①,WZAA4056.CSV
103.5,6.300000000000001,252.8251862026861,473.7592307692308,1592.7986730769226,23.56,29.86,H24①,WZAA4057.CSV
104.0,8.75,241.30257585499956,620.9579778212656,2111.397538731246,21.48,30.23,H24①,WZAA4058.CSV
104.5,6.77,192.0065167659634,551.161327254306,1299.8841185055721,23.34,30.11,H24①,WZAA4059.CSV
105.0,7.069999999999997,218.09032145006134,449.25033149171264,1541.898572651933,23.26,30.33,H24①,WZAA4060.CSV
105.5,5.899999999999999,163.82234863245824,250.06102367161927,966.5518569315034,24.53,30.43,H24①,WZAA4062.CSV
106.0,6.960000000000001,180.08325649675172,307.95217391304345,1253.3794652173922,24.89,31.85,H24①,WZAA4063.CSV
106.5,5.849999999999998,172.30305925925927,302.6933333333334,1007.9728966666664,25.46,31.31,H24①,WZAA4064.CSV
107.0,9.68,136.34678198351236,240.860999000999,1319.8368496003995,23.14,32.82,H24①,WZAA4065.CSV
107.5,6.359999999999999,161.4932768190751,275.359161234246,1027.0972405693176,25.32,31.68,H24①,WZAA4066.CSV
108.0,5.93,148.9208693304312,298.47558866634097,883.1007551294571,26.33,32.26,H24②,WZAA4001.CSV
108.5,6.27,100.41601051515909,227.28050874403814,629.6083859300475,25.63,31.9,H24②,WZAA4002.CSV
109.0,7.009999999999998,190.78579774974844,312.6879254978695,1337.4084422257363,27.4,34.41,H24②,WZAA4003.CSV
109.5,8.030000000000001,143.29377268365266,245.22935282591473,1150.648994649731,26.79,34.82,H24②,WZAA4004.CSV
110.0,6.41,166.68368113084335,240.346274681878,1068.4423960487059,28.12,34.53,H24②,WZAA4005.CSV
110.5,9.36,157.9215229165853,301.3122195905938,1478.1454544992384,27.11,36.47,H24②,WZAA4006.CSV
111.0,7.469999999999999,135.11015374462434,241.8968393327479,1009.2728484723438,28.29,35.76,H24②,WZAA4007.CSV
111.5,8.98,137.48164750095475,332.5775551782683,1234.5851945585737,27.52,36.5,H24②,WZAA4010.CSV
112.0,5.340000000000003,134.54412215684627,238.56103051747027,718.4656123175596,30.18,35.52,H24②,WZAA4011.CSV
112.5,6.139999999999997,162.49903264307179,308.96029268605093,997.7440604284602,30.02,36.16,H24②,WZAA4012.CSV
113.0,6.919999999999998,215.18489185617577,399.9763815789473,1489.0794516447359,30.88,37.8,H24②,WZAA4013.CSV
113.5,6.4999999999999964,144.29859991182727,205.274861660079,937.9408994268767,31.41,37.91,H24②,WZAA4015.CSV
114.0,6.020000000000003,191.11678419419533,384.4284905660377,1150.5230408490565,32.23,38.25,H24②,WZAA4016.CSV
114.5,7.990000000000002,94.20834134099852,155.68682864450125,752.7246473145783,30.78,38.77,H24②,WZAA4017.CSV
115.0,7.990000000000002,132.0651296186384,200.07395189003444,1055.200385652921,32.0,39.99,H24②,WZAA4018.CSV
115.5,6.390000000000001,102.02534805986922,224.51948717948724,651.9419741025644,31.68,38.07,H24②,WZAA4019.CSV
