kp,lat,lon
97.0,43.58547559183681,141.88332501416306
97.5,43.589914087388365,141.88225077592497
98.0,43.594460631281564,141.88078043635517
98.5,43.5986966207639,141.88116907943828
99.0,43.60255214799274,141.8833485214
99.5,43.607151666088846,141.8839193296681
100.0,43.611303004389605,141.88241626972433
100.5,43.61632678375198,141.88283021168874
101.0,43.619968434568335,141.8829964458054
101.5,43.622765311074545,141.8848172881268
102.0,43.62616751662731,141.88888588282157
102.5,43.62875447416479,141.89344514082282
103.0,43.62946187630156,141.89878419481516
103.5,43.630947751397535,141.9053523583754
104.0,43.631830092926315,141.90973148462578
104.5,43.63416646149168,141.91261717851657
105.0,43.63732116870979,141.91240500652097
105.5,43.64185831253756,141.9118136805268
106.0,43.64631160916277,141.9132384618225
106.5,43.65052236775468,141.91462560309256
107.0,43.65490653480182,141.91584312796752
107.5,43.65901708811532,141.91879218408923
108.0,43.66242096622418,141.92250836570662
108.5,43.66569844350813,141.9269871230688
109.0,43.66816273525374,141.93180377997538
109.5,43.66982774848498,141.9378161915511
110.0,43.670813494948966,141.94417891496187
110.5,43.67171382176568,141.94953033680525
111.0,43.670470405377706,141.9553602943212
111.5,43.66977217417107,141.96143183626882
112.0,43.66970488013169,141.9686864996408
112.5,43.67373198386148,141.97172313937108
113.0,43.6768264711036,141.97601812639041
113.5,43.67985471990843,141.98135995520073
114.0,43.680563762341485,141.987240541459
114.5,43.67780399664336,141.9923736590691
115.0,43.675783980495645,141.99814179602546
115.5,43.67700135047227,142.004881178974
116.0,43.675675544854634,142.01045967444924
116.5,43.67596075646749,142.01567991884494
117.0,43.67743201062721,142.02068119955803
117.5,43.68096429001674,142.02388602916952
118.0,43.68333641206726,142.0284243976421
118.5,43.68810157410957,142.02821947779995
119.0,43.692790607094956,142.0295256931991
119.5,43.69604735135599,142.03355578720698
120.0,43.70007579270553,142.0346246746103
120.5,43.704980845959575,142.03531928426384
121.0,43.70849794886503,142.0397826266549
121.5,43.71145225724171,142.04351285224823
122.0,43.71359724017549,142.04719085059293
122.5,43.714528494515825,142.05337411913703
123.0,43.71475537804864,142.0598881858485
123.5,43.71376392271029,142.06347329045613
124.0,43.71070625112209,142.06762236371054
124.5,43.70718168272565,142.07170974880208
125.0,43.70469323605184,142.07667837499972
125.5,43.7040333562863,142.08249509071138
126.0,43.707157207946395,142.08706016948142
126.5,43.70798817722648,142.0923191977137
127.0,43.70766265317525,142.09844974962374
127.5,43.70743502578849,142.10414866745896
128.0,43.70764259217451,142.11006144694386
128.5,43.70924393326718,142.11586308831036
129.0,43.71174682717062,142.12137826185446
129.5,43.71339670350567,142.1270165030387
130.0,43.716072759136445,142.13210314168504
130.5,43.718458217787806,142.13735153225088
131.0,43.72067756032027,142.14288860906458
131.5,43.72480985198134,142.1431670675147
132.0,43.72701164566434,142.14773835591336
132.5,43.72446778202094,142.15209159136225
133.0,43.72089324518775,142.15641941544632
133.5,43.718727640189684,142.1617982152005
134.0,43.71669560941152,142.16661028336088
134.5,43.714548785016824,142.17102435625074
135.0,43.71758773375491,142.17501138717725
135.5,43.72150122875397,142.1730785993606
136.0,43.72568161014697,142.1709748538391
136.5,43.72936626013756,142.17276848560562
137.0,43.730882424682534,142.1781460638833
137.5,43.7303952606214,142.1839128326887
138.0,43.730580616441586,142.19021944130932
138.5,43.731095539157494,142.19676096964926
139.0,43.732177206090576,142.20129772693699
